
 num     #instances         #bytes  class name
 365:             1             40  sun.text.resources.FormatData_en
 366:             1             40  java.util.ResourceBundle$1
 367:             1             40  sun.text.resources.FormatData_en_US
 368:             2             40  [Lcom.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry;
 369:             1             40  com.sun.jmx.mbeanserver.JmxMBeanServer
 370:             1             40  [Ljava.lang.management.MemoryPoolMXBean;
 371:             1             40  sun.nio.cs.StandardCharsets$Aliases
 372:             1             40  sun.util.resources.CurrencyNames
 373:             1             40  sun.util.resources.CurrencyNames_en_US
 374:             1             40  sun.nio.cs.StandardCharsets$Classes
 375:             1             40  sun.nio.cs.StandardCharsets$Cache
 376:             1             40  com.sun.jmx.interceptor.DefaultMBeanServerInterceptor
 377:             2             32  java.util.regex.Pattern$Begin
 378:             1             32  java.util.Formatter
 379:             1             32  org.postgresql.core.Logger
 380:             1             32  com.sun.jmx.mbeanserver.Repository
 381:             1             32  sun.nio.fs.LinuxFileSystem
 382:             1             32  java.util.LinkedList
 383:             1             32  [Ljava.lang.ThreadGroup;
 384:             2             32  sun.security.provider.NativePRNG
 385:             2             32  java.lang.Shutdown$Lock
 386:             1             32  [Lorg.ucsd.db.fastview.datamodel.JoinTuple$TYPE;
 387:             2             32  [Ljava.lang.StackTraceElement;
 388:             1             32  java.lang.NumberFormatException
 389:             1             32  sun.nio.fs.NativeBuffer
 390:             1             32  [Lsun.nio.fs.NativeBuffer;
 391:             1             32  [Ljava.util.List;
 392:             2             32  java.nio.file.attribute.PosixFilePermissions$1
 393:             1             32  [Ljava.net.Proxy$Type;
 394:             1             32  java.text.FieldPosition
 395:             1             32  javax.management.MBeanConstructorInfo
 396:             2             32  java.lang.Boolean
 397:             1             32  sun.security.provider.SecureRandom
 398:             1             32  sun.nio.cs.StandardCharsets
 399:             1             32  sun.management.MemoryImpl
 400:             1             32  org.ucsd.db.fastview.datamodel.TableDefinition
 401:             1             32  [Ljava.nio.file.StandardCopyOption;
 402:             1             32  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl
 403:             1             32  java.io.UnixFileSystem
 404:             1             32  [Lsun.jvmstat.monitor.Variability;
 405:             1             32  net.sf.ehcache.config.MemoryUnit$1
 406:             1             32  java.lang.NullPointerException
 407:             1             32  java.lang.ArithmeticException
 408:             1             32  net.sf.ehcache.config.MemoryUnit$2
 409:             1             32  java.util.regex.Pattern$BnM
 410:             1             32  net.sf.ehcache.config.MemoryUnit$3
 411:             1             32  [Ljava.lang.OutOfMemoryError;
 412:             1             32  net.sf.ehcache.config.MemoryUnit$4
 413:             1             32  [Lnet.sf.ehcache.config.MemoryUnit;
 414:             2             32  [Ljava.lang.annotation.Annotation;
 415:             1             32  java.security.MessageDigest$Delegate
 416:             1             32  org.postgresql.core.v3.SimpleParameterList
 417:             1             32  java.lang.reflect.WeakCache
 418:             2             32  sun.net.www.protocol.file.Handler
 419:             2             32  java.nio.ByteOrder
 420:             1             32  java.nio.DirectByteBuffer$Deallocator
 421:             1             32  sun.instrument.InstrumentationImpl
 422:             1             32  [Ljava.lang.management.MemoryManagerMXBean;
 423:             1             24  [Ljava.io.File$PathStatus;
 424:             1             24  org.postgresql.core.Encoding
 425:             1             24  org.eclipse.jdt.internal.jarinjarloader.RsrcURLStreamHandlerFactory
 426:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$11
 427:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$12
 428:             1             24  sun.instrument.TransformerManager
 429:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$13
 430:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$14
